NO	FILE	COMPARISON	ADJ_LEMMA	CORPUS	YEAR	VARIETY	NEWSPAPER	WORD_COUNT	FORM	ADJ_LEN	READABILITY	LEXDIV	STRESS_LAST_SYLL	PERSIST_COMP	PERSIST_FORM	PERSIST_DIST	SYNT_FUN	ADVMOD	COMPL	ZIPF_FREQ	DPNOFREQ	RHY_SCORE_POS	RHY_SCORE_ALT_POS	SEG_SCORE	SEG_SCORE_ALT	FINAL_SEGMENT
158573	4727921	synthetic	easy	SAVE2020	2020	LK	Daily News	449	comparative	4	-286,808689	57,53117685	n	synthetic	comparative	167	p	n	i	5,158038131	0,080148615	0	0	0	0,125	0
170343	4705373	analytic	superior	SAVE2020	2020	LK	Daily Mirror	578	comparative	8	-174,8629781	8,467671984	n	synthetic	comparative	2	p	n	p	4,64615477	0,045383613	0	0	0	0	1
170344	4705373	analytic	superior	SAVE2020	2020	LK	Daily Mirror	578	comparative	8	-174,8629781	8,467671984	n	synthetic	comparative	2	p	n	p	4,64615477	0,045383613	0	0	0	0	1
150728	4703675	synthetic	bad	SAVE2020	2020	LK	Daily Mirror	525	comparative	3	-36,636337	-61,22840469	y	synthetic	comparative	414	p	n	p	5,316930574	0,087465988	0	0	0	0	0,375
219896	41852463	synthetic	bad	NOW2020	2020	BrE	Daily Mail	2749	comparative	3	2157,857581	41,05665877	y	synthetic	superlative	1615	p	y	n	5,516320629	0,020089946	0	0	0	0,125	0,375
219583	41823119	synthetic	good	NOW2020	2020	BrE	Independent	2309	comparative	4	632,1521921	16,4870891	y	analytic	comparative	26	a	n	n	6,239948832	0,031269529	0	0	0	0,111111111	0,25
156953	4719987	synthetic	good	SAVE2020	2020	LK	Daily News	1324	comparative	4	-19,6849193	16,75390711	y	synthetic	comparative	26	p	n	n	6,377398081	0,189114879	0	0	0	0,125	0,25
151450	4705373	synthetic	good	SAVE2020	2020	LK	Daily Mirror	578	comparative	4	-174,8629781	8,467671984	y	analytic	comparative	334	p	n	n	6,377398081	0,189114879	0	0	0	0	0,25
151806	4706482	synthetic	good	SAVE2020	2020	LK	Daily Mirror	255	comparative	4	-363,7312424	4,483996436	y	synthetic	superlative	413	p	n	i	6,377398081	0,189114879	0	0	0	0,125	0,25
151449	4705373	synthetic	good	SAVE2020	2020	LK	Daily Mirror	578	comparative	4	-174,8629781	8,467671984	y	none	none	none	p	n	n	6,377398081	0,189114879	0	0	0	0	0,25
156952	4719987	synthetic	low	SAVE2020	2020	LK	Daily News	1324	comparative	3	-19,6849193	16,75390711	y	synthetic	superlative	1924	p	n	n	5,523690653	0,13553771	0	0	0	0	0
158048	4725347	synthetic	good	SAVE2020	2020	LK	Daily News	522	comparative	4	-241,3590491	25,69490921	y	synthetic	comparative	270	a	n	n	6,377398081	0,189114879	0	0,333333333	0	0,090909091	0,25
151353	4705181	synthetic	large	SAVE2020	2020	LK	Daily Mirror	1254	comparative	5	-269,041347	25,27883038	y	synthetic	comparative	3684	a	n	n	5,737067526	0,156390238	0	0,333333333	0	0,1	0,666666667
151348	4705181	synthetic	weak	SAVE2020	2020	LK	Daily Mirror	1254	comparative	4	-269,041347	25,27883038	y	synthetic	superlative	2329	a	n	n	4,748000001	0,03825799	0	0,333333333	0	0,1	0
157799	4724310	synthetic	good	SAVE2020	2020	LK	Daily News	430	comparative	4	-266,0603635	61,19261678	y	synthetic	superlative	1654	a	n	n	6,377398081	0,189114879	0	0,5	0	0,111111111	0,25
157277	4721768	synthetic	good	SAVE2020	2020	LK	Daily News	886	comparative	4	-216,59057	32,19125832	y	synthetic	superlative	2022	a	n	n	6,377398081	0,189114879	0	0,5	0	0,111111111	0,25
233822	41786608	analytic	efficacious	NOW2020	2020	BrE	Daily Mail	2041	comparative	11	16,41731373	34,82365666	n	synthetic	superlative	1092	p	n	n	2,438407926	0,000253726	0,5	0	0	0	0,75
218893	41766183	synthetic	good	NOW2020	2020	BrE	Daily Mail	2083	comparative	4	899,6970759	27,66428754	y	none	none	none	a	n	n	6,239948832	0,031269529	0	0,2	0,038461538	0,10989011	0,25
151020	4704541	synthetic	good	SAVE2020	2020	LK	Daily Mirror	598	comparative	4	-0,128138607	-13,46062069	y	synthetic	superlative	133	a	n	n	6,377398081	0,189114879	0	0,071428571	0,05	0,095238095	0,25
151233	4704889	synthetic	young	SAVE2020	2020	LK	Daily Mirror	362	comparative	5	-329,7935477	11,66089452	y	none	none	none	a	n	n	5,506920443	0,164909591	0	0,1	0,066666667	0,066666667	0,5
151153	4704731	synthetic	wide	SAVE2020	2020	LK	Daily Mirror	527	comparative	4	-94,72360316	19,76999569	y	synthetic	superlative	536	a	n	n	5,246660934	0,115643018	0	0	0,069047619	0,129166667	0,25
157985	4724901	synthetic	old	SAVE2020	2020	LK	Daily News	1535	comparative	3	-187,4945097	-20,34857704	y	synthetic	comparative	80	a	n	n	5,59344842	0,178559392	0	0,1	0,069047619	0,129166667	0,416666667
156902	4719689	synthetic	good	SAVE2020	2020	LK	Daily News	140	comparative	4	-314,6338805	-39,13325654	y	none	none	none	a	n	n	6,377398081	0,189114879	0	0	0,076923077	0,142857143	0,25
151200	4704826	synthetic	large	SAVE2020	2020	LK	Daily Mirror	1083	comparative	5	-85,57405884	27,5466423	y	synthetic	comparative	231	a	n	n	5,737067526	0,156390238	0	0,291666667	0,076923077	0,142857143	0,666666667
151354	4705181	synthetic	deep	SAVE2020	2020	LK	Daily Mirror	1254	comparative	4	-269,041347	25,27883038	y	synthetic	comparative	42	a	n	n	5,04780144	0,074015002	0	0	0,083333333	0,153846154	0
219218	41787840	synthetic	high	NOW2020	2020	BrE	Independent	5629	comparative	4	12,89563733	47,05286862	y	synthetic	comparative	1650	p	n	p	5,766685571	0,032098211	0	0	0,083333333	0,133928571	0
156889	4719646	synthetic	long	SAVE2020	2020	LK	Daily News	1495	comparative	4	-250,6955013	11,15800602	y	none	none	none	a	n	n	5,773953515	0,167746914	0	0,333333333	0,083333333	0,083333333	0,25
170228	4704243	analytic	accessible	SAVE2020	2020	LK	Daily Mirror	1251	superlative	10	-152,5205294	18,20800344	n	synthetic	comparative	1366	a	n	n	4,42944566	0,033395871	0,142857143	0,035714286	0,086956522	0,15037594	0,75
171771	4728051	analytic	likely	SAVE2020	2020	LK	Daily News	355	comparative	6	-100,6841823	-3,449132253	n	synthetic	comparative	1236	p	n	n	5,159942935	0,115113529	0	0	0,090909091	0,105555556	0
171709	4725997	analytic	common	SAVE2020	2020	LK	Daily News	489	comparative	6	-124,4059268	23,25213859	n	none	none	none	p	y	p	5,240389424	0,108470089	0	0,333333333	0,090909091	0,1	0,75
